TEI,TPRES,Category,
table,tableText,Element,
tagsDecl,tagsDecl,Element,
tag,tagText,Element,
tagUsage,tagUsage,Element,
taxonomy,taxonomyItem,Element,
tech,techstageDir,Element,
term,termText,Element,
terrain,terrainData,Element,
textClass,textClass,Element,
textDesc,textDesc,Element,
textLang,textLang,Element,
timeline,timeLine,Element,
time,timePhrase,Element,
titlePage,titlePage,Element,
titlePart,titlePart,Element,
tns,tenseGram,Element,
TEI,TPRES,Element,
teiHeader,tpresHeader,Element,
trailer,trailerWrap,Element,
trait,traitDesc,Element,
transcriptionDesc,transcriptionDesc,Element,
transpose,transposeItem,Element,
tree,treeGrp,Element,
tribunalIdent,tribunalIdent,Element,
tribunalStruc,tribunalStruc,Element,
teidata.certainty,tsdata.certainty,Datatype,
teidata.count,tsdata.count,Datatype,
teidata.outputMeasurement,tsdata.displaysize,Datatype,
teidata.duration.iso,tsdata.duration.iso,Datatype,
teidata.duration.w3c,tsdata.duration.w3c,Datatype,
teidata.enumerated,tsdata.enumerated,Datatype,
tsdata.gender,tsdata.gender,Datatype,
teidata.interval,tsdata.interval,Datatype,
teidata.language,tsdata.language,Datatype,
teidata.name,tsdata.name,Datatype,
teidata.namespace,tsdata.namespace,Datatype,
teidata.namespaceOrName,tsdata.namespaceOrName,Datatype,
teidata.nullOrName,tsdata.nullOrName,Datatype,
teidata.numeric,tsdata.numeric,Datatype,
teidata.pattern,tsdata.pattern,Datatype,
teidata.point,tsdata.point,Datatype,
teidata.pointer,tsdata.pointer,Datatype,
teidata.prefix,tsdata.prefix,Datatype,
teidata.probability,tsdata.probability,Datatype,
teidata.probCert,tsdata.probcert,Datatype,
tsdata.raceid,tsdata.raceid,Datatype,
teidata.replacement,tsdata.replacement,Datatype,
teidata.sex,tsdata.sex,Datatype,
teidata.temporal.iso,tsdata.temporal.iso,Datatype,
teidata.temporal.w3c,tsdata.temporal.w3c,Datatype,
teidata.text,tsdata.text,Datatype,
teidata.truthvalue,tsdata.truthvalue,Datatype,
teidata.unboundedInt,tsdata.unboundedInt,Datatype,
teidata.version,tsdata.version,Datatype,
teidata.versionnum,tsdata.versionnum,Datatype,
teidata.word,tsdata.word,Datatype,
teidata.xmlname,tsdata.xmlname,Datatype,Refactor from tsdata.genderid
teidata.xpath,tsdata.xpath,Datatype,
teidata.xtruthvalue,tsdata.xtruthvalue,Datatype,
typeDesc,typeDesc,Element,
typeNote,typeNote,Element,
unclear,unclearText,Element,
undo,undoMarkup,Element,
unitDecl,unitDecl,Element,
unitDef,unitDef,Element,
unit,unitMetric,Element,
usg,usageInfo,Element,
u,utteranceSpeech,Element,
valDesc,valDesc,Element,
valList,valList,Element,
vAlt,vAlt,Element,
variantEncoding,variantEncoding,Element,
vColl,vColl,Element,
vLabel,vLabel,Element,Refactor from tsdata.genderbirth
vMerge,vMerge,Element,
vocal,vocalDesc,Element,
vNot,vNot,Element,
watermark,waterMark,Element,
width,widthMeasure,Element,
witDetail,witDetail,Element,Add
witEnd,witEnd,Element,
witness,witnessDesc,Element,
wit,witSigla,Element,
witStart,witStart,Element,
w,wordText,Element,
writing,writingPassage,Element,
xenoData,xenoData,Element,
zone,zoneXy,Element,
,,,
,,,
